id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,acct_open_date,year_pin_last_changed,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,debt_to_income_ratio,total_transactions,avg_transaction_amount,max_transaction_amount,min_transaction_amount,total_spent,total_refunded,num_refunds,transaction_frequency,avg_errors,total_errors,credit_limit
0,1362,Amex,Credit,393314135668401,2024-04-01,866,1,2,1991-01-01,2014,58,67,1962,1,Male,3385 Hill Lane,38.78,-77.27,35563,72510,44317,727,4,0.61118466418425,3402,70.812771898883,1340.97,-497,278052.05,37147,332,3402,0.0170487948265726,58,33900
1,550,Mastercard,Credit,5278231764792292,2024-06-01,396,1,1,1994-01-01,2013,76,70,1944,2,Male,4937 Maple Lane,47.54,-122.58,21219,30248,35766,763,4,1.18242528431632,2841,54.8187469200986,1099.49,-500,163668.06,7928,58,2841,0.0154875043998592,44,11600
2,556,Mastercard,Debit,5889825928297675,2021-09-01,422,1,1,1995-01-01,2011,46,66,1973,12,Male,5659 Park Avenue,41.01,-81.6,17856,36405,31815,715,2,0.873918417799753,8028,28.2114848031888,1430.74,-499,258937.8,32456,329,8028,0.0125809666168411,101,19948
3,1937,Visa,Credit,4289888672554714,2020-04-01,736,1,2,1995-01-01,2015,65,62,1955,2,Female,230 Plum Avenue,38.78,-90.7,25350,17056,29112,667,5,1.70684803001876,2870,86.8956341463415,1165.37,-469,266504.47,17114,162,2870,0.0205574912891986,59,16400
4,1981,Mastercard,Debit,5433366978583845,2024-03-01,530,1,2,1997-01-01,2007,48,65,1972,1,Male,8975 Littlewood Boulevard,26.63,-81.99,19274,39303,23650,702,7,0.601735236495942,890,36.3809325842697,903.24,-374,41365.03,8986,104,890,0.0314606741573034,28,19439
5,619,Visa,Debit,4657824650820465,2024-04-01,245,1,2,1997-01-01,2012,54,65,1965,12,Male,498 Littlewood Avenue,44.01,-92.47,26478,53986,58381,748,4,1.08140999518394,2058,43.8172691933916,626.73,-491,104039.94,13864,139,2058,0.0131195335276968,27,21883
6,1046,Amex,Credit,394584924614148,1999-02-01,302,1,2,1998-01-01,2011,44,66,1975,6,Male,9414 Summit Boulevard,39.95,-75.16,18007,36715,74022,547,4,2.01612419991829,0,0,0,0,0,0,0,0,0,0,9400
7,511,Mastercard,Debit,5585238056278288,2005-03-01,749,1,1,1998-01-01,2011,66,68,1953,10,Male,153 Tenth Lane,32.21,-110.88,17460,35602,55369,661,5,1.5552216167631,0,0,0,0,0,0,0,0,0,0,9664
8,1107,Mastercard,Credit,5462760953855576,2021-09-01,665,0,2,1998-01-01,2006,71,69,1949,1,Female,836 Summit Boulevard,42.23,-76.34,18323,40516,6908,698,5,0.17050054299536,4150,47.4796939759036,823.53,-496,224376.73,27336,231,4150,0.0156626506024096,65,10300
9,1046,Amex,Credit,357982644067712,2020-09-01,72,1,1,1999-01-01,2005,44,66,1975,6,Male,9414 Summit Boulevard,39.95,-75.16,18007,36715,74022,547,4,2.01612419991829,5683,31.3268678514869,1147.94,-490,278826.59,100796,1238,5683,0.00950202357909555,54,13000
10,1783,Mastercard,Debit,5513208341097350,2023-12-01,789,1,1,1999-01-01,2009,52,70,1967,9,Male,2093 Ocean Street,37.78,-122.24,18443,37607,63689,749,5,1.69354109607254,7868,18.3037353838333,590.79,-492,176596.79,32583,365,7868,0.0125826131164209,99,16597
11,1579,Mastercard,Debit,5927292790575653,2023-11-01,964,1,2,1999-01-01,2013,81,70,1938,6,Female,7673 Plum Drive,27.95,-82.48,18881,28594,1821,728,5,0.0636846890956145,1939,25.0497215059309,937.01,-413,51694.41,3123,34,1939,0.0134089736977824,26,2143
12,1156,Visa,Credit,4008696033204121,2023-02-01,124,0,1,1999-01-01,2011,56,69,1963,6,Female,9603 South Lane,40.74,-74.33,137428,280199,91367,752,5,0.3260789653068,2419,112.661637040099,2150.72,-493,295509.5,22981,121,2419,0.0152955766845804,37,57200
13,858,Mastercard,Credit,5106045376475662,2021-03-01,686,1,1,2000-01-01,2012,47,67,1972,11,Male,335 Valley Stream Boulevard,29.5,-97.44,15092,30774,51428,700,3,1.6711509715994,3477,34.201714121369,914.26,-476,184472.36,65553,746,3477,0.0313488639631867,109,14600
14,641,Mastercard,Debit,5206583278012757,2021-07-01,19,1,1,2000-01-01,2011,62,68,1957,11,Male,878 Forest Street,39.98,-82.98,18420,37556,0,735,6,0,6081,34.7732247985529,843.58,-493,229573.98,18118,188,6081,0.0194047031738201,118,24819
15,1228,Mastercard,Debit,5047012325844667,2024-09-01,300,1,1,2000-01-01,2020,54,61,1965,7,Male,456 Sixth Boulevard,30.26,-97.74,23287,47482,59590,726,5,1.25500189545512,2695,25.6509239332097,821.22,-380,74277.24,5148,60,2695,0.0122448979591837,33,5966
16,1201,Visa,Debit,4817273521248161,2023-10-01,706,1,2,2000-01-01,2006,60,66,1959,11,Male,175 Valley Drive,42.36,-71.36,56632,115465,195657,715,4,1.69451348893604,2736,93.255807748538,1522.12,-500,283968.89,28821,179,2736,0.0138888888888889,38,55693
17,804,Visa,Debit,4214048661117547,2022-07-01,799,1,2,2000-01-01,2010,64,67,1955,7,Male,37 River Boulevard,36.97,-86.44,14839,30252,24172,812,5,0.799021552294063,6056,22.6422968956407,471,-471,152621.75,15500,185,6056,0.0170079260237781,103,18744
18,11,Mastercard,Credit,5919854740342964,2004-11-01,604,1,2,2001-01-01,2011,39,67,1980,10,Female,6339 Fourth Street,39.45,-76.81,33175,67643,0,714,6,0,0,0,0,0,0,0,0,0,0,0,18300
19,115,Mastercard,Debit,5610743457688598,2023-01-01,310,1,2,2001-01-01,2014,61,69,1958,7,Male,386 11th Lane,40.93,-73.72,49546,101018,78115,748,6,0.773278029658081,2446,66.4701839738348,1584.78,-466,170710.07,8124,56,2446,0.00858544562551104,21,46184
20,1728,Visa,Credit,4665365862082531,2021-06-01,412,1,1,2001-01-01,2003,47,63,1972,10,Female,2614 Eighth Lane,44.35,-89.07,18937,38615,74337,601,4,1.92508092710087,979,77.4751583248213,500,-500,85650.18,9802,38,979,0.017364657814096,17,3800
21,1596,Visa,Credit,4262822146225767,2012-06-01,826,1,1,2001-01-01,2010,42,69,1977,3,Male,188 Washington Avenue,34.28,-118.44,15583,31772,17286,734,4,0.54406395568425,1041,71.6688088376561,538.2,-482,76726.23,2119,18,1041,0.0230547550432277,24,6600
